ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
CC	GO:0009538	photosystem I reaction center	4/498	11/26902	0.363636363636364	19.6436655713764	8.49352934874941	3.45325220170539e-05	0.000231367897514261	0.000170845108926477	PSAD-2/PSAH-2/PSAL/PSAF	4
CC	GO:0009986	cell surface	4/498	15/26902	0.266666666666667	14.4053547523427	7.13208957339138	0.000134668444796772	0.000859312933465118	0.000634528010571257	JK224/AtAUX1/ANNAT4/ANN3	4
CC	GO:0009528	plastid inner membrane	7/498	82/26902	0.0853658536585366	4.61147027132922	4.49806373891813	0.000820934097497315	0.00500023495748365	0.00369223948156687	ABAR/MDH/EMB2458/PSB29/ACSF/MEX1/NA	7
CC	GO:0000427	plastid-encoded plastid RNA polymerase complex	3/498	12/26902	0.25	13.5050200803213	5.95036541699236	0.00122479256620366	0.00713574799440392	0.00526913049076173	PDE312/HMR/CRB	3
CC	GO:0010598	NAD(P)H dehydrogenase complex (plastoquinone)	3/498	13/26902	0.230769230769231	12.466172381835	5.67893422783637	0.00157043602180993	0.00876826778843876	0.00647460465132163	NDH-O/NdhN/CRR3	3
CC	GO:0009706	chloroplast inner membrane	6/498	79/26902	0.0759493670886076	4.10279091047735	3.79294375749164	0.00347253277592224	0.0186127756789432	0.0137439191973343	ABAR/MDH/EMB2458/ACSF/MEX1/NA	6
CC	GO:0000786	nucleosome	3/498	21/26902	0.142857142857143	7.71715433161216	4.2289863674944	0.00654373664106146	0.0337254119193168	0.0249032892412865	HIS4/HTA10/H2A.Z	3
CC	GO:0031969	chloroplast membrane	8/498	154/26902	0.051948051948052	2.80623793876806	3.08712123311693	0.00812653982401644	0.0403317161636371	0.0297814714798263	NA/ABAR/MDH/EMB2458/ACSF/MET1/MEX1/NA	8
MF	GO:0016168	chlorophyll binding	8/493	28/26722	0.285714285714286	15.4865256447407	10.5146633842147	2.85038058311145e-08	1.14015223324458e-05	9.87131801940701e-06	LHCA3/CAB4/LHCB2/LHCA2/CP24/LHCB4.3/LHCB4.2/LHCA1	8
MF	GO:0033293	monocarboxylic acid binding	9/493	68/26722	0.132352941176471	7.17390526190192	6.98863191615269	4.32151841313638e-06	0.000643610554079971	0.000557231242874501	OE23/MLP423/ATLOX2/AtFAP1/GAPA-2/RBCS1A/PYL9/ATGSTF5/2CPA	9
MF	GO:0008266	poly(U) RNA binding	6/493	26/26722	0.230769230769231	12.5083476361367	8.04888080548146	6.43610554079971e-06	0.000643610554079971	0.000557231242874501	OE23/ATLFNR1/OEC33/ATHPR1/SHM1/CSP41A	6
MF	GO:0015112	nitrate transmembrane transporter activity	6/493	26/26722	0.230769230769231	12.5083476361367	8.04888080548146	6.43610554079971e-06	0.000643610554079971	0.000557231242874501	AtNPF6.4/AtNITR2;2/AtNPF6.3/AtNPF2.7/AtNPF2.13/AtNPF7.3	6
MF	GO:0008187	poly-pyrimidine tract binding	6/493	29/26722	0.206896551724138	11.214380639295	7.54520927867304	1.2670369097295e-05	0.000844691273152998	0.00073132481280878	OE23/ATLFNR1/OEC33/ATHPR1/SHM1/CSP41A	6
MF	GO:1901149	salicylic acid binding	6/493	29/26722	0.206896551724138	11.214380639295	7.54520927867304	1.2670369097295e-05	0.000844691273152998	0.00073132481280878	OE23/ATLOX2/GAPA-2/RBCS1A/ATGSTF5/2CPA	6
MF	GO:0031406	carboxylic acid binding	9/493	86/26722	0.104651162790698	5.67239020708524	5.94994257379999	3.00862061549361e-05	0.00150431030774681	0.00130241602960184	OE23/MLP423/ATLOX2/AtFAP1/GAPA-2/RBCS1A/PYL9/ATGSTF5/2CPA	9
MF	GO:0043177	organic acid binding	9/493	86/26722	0.104651162790698	5.67239020708524	5.94994257379999	3.00862061549361e-05	0.00150431030774681	0.00130241602960184	OE23/MLP423/ATLOX2/AtFAP1/GAPA-2/RBCS1A/PYL9/ATGSTF5/2CPA	9
MF	GO:0046906	tetrapyrrole binding	11/493	149/26722	0.0738255033557047	4.00155192833903	5.03706608020157	0.000105821969769176	0.00470319865640783	0.00407197988936363	NA/LHCA3/CAB4/LHCB2/CYP86B1/LHCA2/CYP86A8/CP24/LHCB4.3/LHCB4.2/LHCA1	11
MF	GO:0003727	single-stranded RNA binding	8/493	81/26722	0.0987654320987654	5.35336688953998	5.37961832879346	0.000125467241940372	0.00501868967761488	0.00434512869456657	OE23/mTERF6/ATLFNR1/OEC33/ATHPR1/SHM1/CSP41A/AtC3H23	8
MF	GO:0042562	hormone binding	5/493	35/26722	0.142857142857143	7.74326282237033	5.47284537118665	0.000430529694321519	0.0156556252480552	0.013554475543711	ATGER3/MLP423/AtAUX1/CEPR2/PYL9	5
MF	GO:0016209	antioxidant activity	9/493	133/26722	0.0676691729323308	3.66786133691226	4.22860401961186	0.000832263312842577	0.0274375966232821	0.0237551823396311	NA/PER72/FSD3/RHS18/NA/PER3/Prx66/APX5/2CPA	9
MF	GO:0004601	peroxidase activity	8/493	108/26722	0.0740740740740741	4.01502516715498	4.30434119701356	0.00089172189025667	0.0274375966232821	0.0237551823396311	NA/PER72/RHS18/NA/PER3/Prx66/APX5/2CPA	8
MF	GO:0016684	oxidoreductase activity, acting on peroxide as acceptor	8/493	110/26722	0.0727272727272727	3.94202470957035	4.23899444813385	0.00100527686135436	0.0287221960386961	0.0248673749913974	NA/PER72/RHS18/NA/PER3/Prx66/APX5/2CPA	8
MF	GO:0008097	5S rRNA binding	3/493	14/26722	0.214285714285714	11.6148942335555	5.44650556721988	0.00195243283194124	0.0488108207985311	0.0422598948492546	u18-L8/uL18-L4/EMB3105	3
MF	GO:0106435	carboxylesterase activity	3/493	14/26722	0.214285714285714	11.6148942335555	5.44650556721988	0.00195243283194124	0.0488108207985311	0.0422598948492546	ATCXE12/AtCXE5/NA	3
